Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite,Chrome 111.0.0.0,SmokeScenarios,,2023-04-10 14:22:53,2023-04-10 14:23:18,25.287s,FAILED
,,,,,,,
Test Cases/NewTestCases/OpenAmazon,Chrome 111.0.0.0,Amazon,,2023-04-10 14:23:12,2023-04-10 14:23:18,5.540s,FAILED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-10 14:23:12,2023-04-10 14:23:15,2.239s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 111.0.0.0,,,2023-04-10 14:23:15,2023-04-10 14:23:15,0.255s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/input_India_a-button-input""))",Chrome 111.0.0.0,,,2023-04-10 14:23:15,2023-04-10 14:23:18,3.035s,FAILED
